date,time,latitude,longitude,elevation,heart_rate,cadence
2018-6-6,15:6:34,50.90873681008815765380859375,4.70646721310913562774658203125,35.799999237060546875,166,75
2018-6-6,15:6:40,50.90853421948850154876708984375,4.7065269760787487030029296875,35.59999847412109375,167,75
2018-6-6,15:6:46,50.90833020396530628204345703125,4.70657332800328731536865234375,35.799999237060546875,167,75
2018-6-6,15:6:52,50.90811780653893947601318359375,4.7066027484834194183349609375,36,167,75
2018-6-6,15:6:57,50.90793357230722904205322265625,4.70661632716655731201171875,36.200000762939453125,168,75
2018-6-6,15:7:3,50.9077194146811962127685546875,4.70664021559059619903564453125,36,168,74
2018-6-6,15:7:8,50.9075299836695194244384765625,4.70664180815219879150390625,36,168,74
2018-6-6,15:7:13,50.9073492698371410369873046875,4.70664574764668941497802734375,36,168,74
2018-6-6,15:7:19,50.90716009028255939483642578125,4.70663384534418582916259765625,36,168,75
2018-6-6,15:7:25,50.90695154853165149688720703125,4.70662831328809261322021484375,36,168,75
2018-6-6,15:7:31,50.90675474144518375396728515625,4.7065957076847553253173828125,35.799999237060546875,168,75
2018-6-6,15:7:37,50.90653765015304088592529296875,4.7065916843712329864501953125,35.799999237060546875,168,76
2018-6-6,15:7:43,50.9063179604709148406982421875,4.706587828695774078369140625,35.799999237060546875,169,76
2018-6-6,15:7:48,50.90612626634538173675537109375,4.7065873257815837860107421875,35.799999237060546875,169,76
2018-6-6,15:7:54,50.9059283696115016937255859375,4.7065993957221508026123046875,35.799999237060546875,169,75
2018-6-6,15:8:0,50.90572007931768894195556640625,4.7065873257815837860107421875,35.799999237060546875,169,75
2018-6-6,15:8:6,50.90550902299582958221435546875,4.7065511159598827362060546875,36,170,79
2018-6-6,15:8:11,50.90538715012371540069580078125,4.7065561451017856597900390625,35.799999237060546875,169,72
2018-6-6,15:8:14,50.90536200441420078277587890625,4.70655354671180248260498046875,35.799999237060546875,169,49
2018-6-6,15:8:16,50.90534205548465251922607421875,4.70654533244669437408447265625,35.799999237060546875,166,50
2018-6-6,15:8:21,50.90529712848365306854248046875,4.70652890391647815704345703125,35.799999237060546875,164,50
2018-6-6,15:8:24,50.90526443906128406524658203125,4.70651515759527683258056640625,35.799999237060546875,164,50
2018-6-6,15:8:27,50.90523158200085163116455078125,4.7065085358917713165283203125,35.799999237060546875,162,50
2018-6-6,15:8:30,50.90520174242556095123291015625,4.7064941190183162689208984375,35.799999237060546875,160,49
2018-6-6,15:8:37,50.90512177906930446624755859375,4.70651381649076938629150390625,35.799999237060546875,157,49
2018-6-6,15:8:41,50.90507182292640209197998046875,4.70651834271848201751708984375,35.799999237060546875,154,49
2018-6-6,15:8:44,50.90503812767565250396728515625,4.70651599578559398651123046875,35.799999237060546875,152,49
2018-6-6,15:8:48,50.90498984791338443756103515625,4.70651515759527683258056640625,35.799999237060546875,149,49
2018-6-6,15:8:51,50.90495263226330280303955078125,4.7065244615077972412109375,35.59999847412109375,145,49
2018-6-6,15:8:54,50.90491541661322116851806640625,4.70652705989778041839599609375,35.40000152587890625,142,50
2018-6-6,15:8:58,50.90486428700387477874755859375,4.70652555115520954132080078125,35.40000152587890625,141,50
2018-6-6,15:8:59,50.9048517979681491851806640625,4.70652622170746326446533203125,35.40000152587890625,140,50
2018-6-6,15:9:1,50.904830507934093475341796875,4.7065303288400173187255859375,35.40000152587890625,137,50
2018-6-6,15:9:2,50.90482003055512905120849609375,4.70653141848742961883544921875,35.40000152587890625,137,50
2018-6-6,15:9:5,50.90478549711406230926513671875,4.70652513206005096435546875,35.59999847412109375,134,50
2018-6-6,15:9:11,50.9047133289277553558349609375,4.7065222822129726409912109375,35.59999847412109375,131,50
2018-6-6,15:9:15,50.904666893184185028076171875,4.70652085728943347930908203125,35.59999847412109375,128,50
2018-6-6,15:9:27,50.90451098978519439697265625,4.7065273113548755645751953125,35.59999847412109375,125,50
2018-6-6,15:9:34,50.90442541055381298065185546875,4.7065417282283306121826171875,35.799999237060546875,122,49
2018-6-6,15:9:37,50.90439238585531711578369140625,4.70654734410345554351806640625,35.799999237060546875,119,50
2018-6-6,15:9:45,50.90429347939789295196533203125,4.70655270852148532867431640625,35.40000152587890625,119,50
2018-6-6,15:9:55,50.904149226844310760498046875,4.7065413929522037506103515625,35.59999847412109375,118,50
2018-6-6,15:10:3,50.9040595404803752899169921875,4.70654868520796298980712890625,35.799999237060546875,115,50
2018-6-6,15:10:9,50.90398737229406833648681640625,4.7065454162657260894775390625,35.59999847412109375,115,50
2018-6-6,15:10:17,50.903878323733806610107421875,4.7065105475485324859619140625,35.59999847412109375,112,50
2018-6-6,15:10:18,50.903866924345493316650390625,4.7065105475485324859619140625,35.59999847412109375,112,49
2018-6-6,15:10:19,50.90385460294783115386962890625,4.706512056291103363037109375,35.59999847412109375,112,50
2018-6-6,15:10:22,50.903829373419284820556640625,4.70651415176689624786376953125,35.59999847412109375,113,50
2018-6-6,15:10:24,50.9037981927394866943359375,4.70650426112115383148193359375,35.59999847412109375,114,50
2018-6-6,15:10:38,50.9036541916429996490478515625,4.70649738796055316925048828125,35.59999847412109375,114,49
